DATE,AWAY_TEAM,HOME_TEAM
2/28/24,NOP,IND
2/28/24,MEM,MIN
2/28/24,DAL,TOR
2/28/24,CLE,CHI
2/28/24,SAC,DEN
2/28/24,LAL,LAC
2/29/24,MIL,CHO
2/29/24,UTA,ORL
2/29/24,ATL,BRK
2/29/24,GSW,NYK
2/29/24,OKC,SAS
2/29/24,HOU,PHO
2/29/24,MIA,DEN
2/29/24,WAS,LAL
3/1/24,CLE,DET
3/1/24,CHO,PHI
3/1/24,DAL,BOS
3/1/24,GSW,TOR
3/1/24,POR,MEM
3/1/24,SAC,MIN
3/1/24,IND,NOP
3/1/24,MIL,CHI
3/1/24,WAS,LAC
3/2/24,ATL,BRK
3/2/24,UTA,MIA
3/2/24,POR,MEM
3/2/24,DEN,LAL
3/2/24,HOU,PHO
3/3/24,PHI,DAL
3/3/24,GSW,BOS
3/3/24,LAC,MIN
3/3/24,DET,ORL
3/3/24,CHO,TOR
3/3/24,NYK,CLE
3/3/24,IND,SAS
3/3/24,OKC,PHO
3/4/24,MEM,BRK
3/4/24,LAC,MIL
3/4/24,POR,MIN
3/4/24,WAS,UTA
3/4/24,CHI,SAC
3/4/24,OKC,LAL
3/5/24,ORL,CHO
3/5/24,BOS,CLE
3/5/24,PHI,BRK
3/5/24,DET,MIA
3/5/24,ATL,NYK
3/5/24,NOP,TOR
3/5/24,SAS,HOU
3/5/24,IND,DAL
3/5/24,PHO,DEN
3/6/24,ORL,WAS
3/6/24,CLE,ATL
3/6/24,MEM,PHI
3/6/24,LAC,HOU
3/6/24,CHI,UTA
3/6/24,MIL,GSW
3/6/24,OKC,POR
3/6/24,SAC,LAL
3/7/24,BRK,DET
3/7/24,MIN,IND
3/7/24,MIA,DAL
3/7/24,TOR,PHO
3/7/24,BOS,DEN
3/7/24,CHI,GSW
3/7/24,SAS,SAC
3/8/24,NOP,PHI
3/8/24,CHO,WAS
3/8/24,MIN,CLE
3/8/24,ATL,MEM
3/8/24,ORL,NYK
3/8/24,MIA,OKC
3/8/24,MIL,LAL
3/8/24,HOU,POR
3/9/24,CHI,LAC
3/9/24,BRK,CHO
3/9/24,DAL,DET
3/9/24,SAS,GSW
3/9/24,BOS,PHO
3/9/24,UTA,DEN
3/9/24,TOR,POR
3/10/24,MIL,LAC
3/10/24,NOP,ATL
3/10/24,WAS,MIA
3/10/24,PHI,NYK
3/10/24,IND,ORL
3/10/24,HOU,SAC
3/10/24,BRK,CLE
3/10/24,MEM,OKC
3/10/24,MIN,LAL
3/11/24,CHO,DET
3/11/24,PHO,CLE
3/11/24,DAL,CHI
3/11/24,GSW,SAS
3/11/24,TOR,DEN
3/11/24,BOS,POR
3/12/24,PHI,NYK
3/12/24,WAS,MEM
3/12/24,IND,OKC
3/12/24,HOU,SAS
3/12/24,BOS,UTA
3/12/24,MIN,LAC
3/12/24,MIL,SAC
3/13/24,TOR,DET
3/13/24,BRK,ORL
3/13/24,CHI,IND
3/13/24,DEN,MIA
3/13/24,CHO,MEM
3/13/24,CLE,NOP
3/13/24,GSW,DAL
3/13/24,ATL,POR
3/13/24,LAL,SAC
3/14/24,PHO,BOS
3/14/24,LAC,CHI
3/14/24,WAS,HOU
3/14/24,PHI,MIL
3/14/24,DAL,OKC
3/14/24,NYK,POR
3/15/24,PHO,CHO
3/15/24,MIA,DET
3/15/24,ORL,TOR
3/15/24,LAC,NOP
3/15/24,DEN,SAS
3/15/24,ATL,UTA
3/16/24,CLE,HOU
3/16/24,BRK,IND
3/16/24,POR,NOP
3/16/24,CHO,PHI
3/16/24,WAS,CHI
3/16/24,OKC,MEM
3/16/24,GSW,LAL
3/16/24,MIN,UTA
3/16/24,NYK,SAC
3/17/24,PHO,MIL
3/17/24,MIA,DET
3/17/24,DEN,DAL
3/17/24,TOR,ORL
3/17/24,BOS,WAS
3/17/24,BRK,SAS
3/17/24,ATL,LAC
3/18/24,CLE,IND
3/18/24,DET,BOS
3/18/24,MIA,PHI
3/18/24,POR,CHI
3/18/24,MIN,UTA
3/18/24,NYK,GSW
3/18/24,MEM,SAC
3/18/24,ATL,LAL
3/19/24,CHO,ORL
3/19/24,HOU,WAS
