DATE,AWAY_TEAM,HOME_TEAM
Dec 30 2022,LAL,ATL
Dec 30 2022,PHO,TOR
Dec 30 2022,DET,CHI
Dec 30 2022,MIN,MIL
Dec 30 2022,PHI,NOP
Dec 30 2022,MIA,DEN
Dec 30 2022,POR,GSW
Dec 30 2022,UTA,SAC
Dec 31 2022,LAC,IND
Dec 31 2022,CLE,CHI
Dec 31 2022,BRK,CHO
Dec 31 2022,NYK,HOU
Dec 31 2022,DAL,SAS
Dec 31 2022,NOP,MEM
Dec 31 2022,DET,MIN
Dec 31 2022,PHI,OKC
Dec 31 2022,MIA,UTA
Jan 1 2023,BOS,DEN
Jan 1 2023,SAC,MEM
Jan 1 2023,WAS,MIL
Jan 2 2023,PHO,NYK
Jan 2 2023,LAL,CHO
Jan 2 2023,CHI,CLE
Jan 2 2023,TOR,IND
Jan 2 2023,NOP,PHI
Jan 2 2023,SAS,BRK
Jan 2 2023,DAL,HOU
Jan 2 2023,DEN,MIN
Jan 2 2023,ATL,GSW
Jan 2 2023,DET,POR
Jan 2 2023,MIA,LAC
Jan 3 2023,WAS,MIL
Jan 3 2023,BOS,OKC
Jan 3 2023,SAC,UTA
Jan 4 2023,MEM,CHO
Jan 4 2023,PHO,CLE
Jan 4 2023,OKC,ORL
Jan 4 2023,IND,PHI
Jan 4 2023,SAS,NYK
Jan 4 2023,MIL,TOR
Jan 4 2023,BRK,CHI
Jan 4 2023,POR,MIN
Jan 4 2023,HOU,NOP
Jan 4 2023,DET,GSW
Jan 4 2023,MIA,LAL
Jan 4 2023,ATL,SAC
Jan 5 2023,MEM,ORL
Jan 5 2023,BOS,DAL
Jan 5 2023,UTA,HOU
Jan 5 2023,LAC,DEN
Jan 6 2023,POR,IND
Jan 6 2023,CHI,PHI
Jan 6 2023,BRK,NOP
Jan 6 2023,NYK,TOR
Jan 6 2023,CHO,MIL
Jan 6 2023,WAS,OKC
Jan 6 2023,DET,SAS
Jan 6 2023,CLE,DEN
Jan 6 2023,LAC,MIN
Jan 6 2023,MIA,PHO
Jan 6 2023,ATL,LAL
Jan 7 2023,BOS,SAS
Jan 7 2023,UTA,CHI
Jan 7 2023,NOP,DAL
Jan 7 2023,ORL,GSW
Jan 7 2023,LAL,SAC
Jan 8 2023,PHI,DET
Jan 8 2023,POR,TOR
Jan 8 2023,CHO,IND
Jan 8 2023,UTA,MEM
Jan 8 2023,BRK,MIA
Jan 8 2023,MIN,HOU
Jan 8 2023,DAL,OKC
Jan 8 2023,CLE,PHO
Jan 8 2023,ATL,LAC
Jan 9 2023,NOP,WAS
Jan 9 2023,CHI,BOS
Jan 9 2023,MIL,NYK
Jan 9 2023,SAS,MEM
Jan 9 2023,LAL,DEN
Jan 9 2023,ORL,SAC
Jan 10 2023,DET,PHI
Jan 10 2023,OKC,MIA
Jan 10 2023,CHO,TOR
Jan 10 2023,CLE,UTA
Jan 10 2023,PHO,GSW
Jan 10 2023,ORL,POR
Jan 10 2023,DAL,LAC
Jan 11 2023,MIN,DET
Jan 11 2023,CHI,WAS
Jan 11 2023,MIL,ATL
Jan 11 2023,NOP,BOS
Jan 11 2023,IND,NYK
Jan 11 2023,SAS,MEM
Jan 11 2023,PHO,DEN
Jan 11 2023,HOU,SAC
Jan 12 2023,OKC,PHI
Jan 12 2023,BOS,BRK
Jan 12 2023,MIL,MIA
Jan 12 2023,CHO,TOR
Jan 12 2023,DAL,LAL
Jan 12 2023,CLE,POR
Jan 13 2023,NOP,DET
Jan 13 2023,ATL,IND
Jan 13 2023,NYK,WAS
Jan 13 2023,GSW,SAS
Jan 13 2023,OKC,CHI
Jan 13 2023,PHO,MIN
Jan 13 2023,ORL,UTA
Jan 13 2023,DEN,LAC
Jan 13 2023,HOU,SAC
Jan 14 2023,MIL,MIA
Jan 14 2023,BOS,CHO
Jan 14 2023,MEM,IND
Jan 14 2023,ATL,TOR
Jan 14 2023,CLE,MIN
Jan 14 2023,PHI,UTA
Jan 14 2023,DAL,POR
Jan 15 2023,NYK,DET
Jan 15 2023,HOU,LAC
Jan 15 2023,GSW,CHI
Jan 15 2023,OKC,BRK
Jan 15 2023,SAC,SAS
Jan 15 2023,ORL,DEN
Jan 15 2023,DAL,POR
Jan 15 2023,PHI,LAL
Jan 16 2023,BOS,CHO
Jan 16 2023,IND,MIL
Jan 16 2023,NOP,CLE
Jan 16 2023,TOR,NYK
Jan 16 2023,GSW,WAS
Jan 16 2023,MIA,ATL
Jan 16 2023,UTA,MIN
Jan 16 2023,PHO,MEM
Jan 16 2023,HOU,LAL
